Brand,Paddle Name,Price,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
JOOLA,Perseus 3S (16mm),$279.95 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,8,121,86%,6.27,44%,245,High,1983,56.4,74%,36.7,80%,77%,67,Firepower High
Luzz,Glider,$129 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.3,4.15,7.87,107,6%,6.14,33%,236,Very High,2077,56.1,61%,36.2,51%,56%,60,Firepower Balanced
LUZZ,Pro Blade 2,$169.99 ,2026,USAP/UPA-A,,,Raw Texture/Peel Ply,Gen 4,,14,5.5,4.125,7.9,116,57%,6.01,25%,240,,,,,,,,,
Luzz,Pro Cannon,$109 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.9,119,79%,6.21,39%,244,Very High,2076,56.8,86%,36.6,72%,79%,72,Firepower High
Luzz,Pro-4 Inferno,$229 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.88,119,79%,6.17,36%,244,Very High,2027,57.1,95%,37.1,93%,94%,79,Firepower High
Luzz,Tornazo,$229 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.9,118,71%,6.05,28%,245,Very High,2111,56.9,90%,36.9,85%,88%,75,Firepower High
Mark,02 R3,$189.99 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,Power,16,5.6,4.125,8,117,64%,5.89,17%,242,,,,,,,,,
Mark,One,$159.99 ,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.3,4.125,8.18,119,79%,6.57,64%,242,,,,,,,,,
Mark,OneX,$159.99 ,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,4.125,7.94,117,64%,6.46,57%,244,,,,,,,,,
Mark,Two,$159.99 ,2024,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.3,4.125,8.24,123,92%,6.66,70%,245,,,,,,,,,
Maverix,Havik-15 All-Court,$180 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,15,5.3,4.125,8.18,118,71%,6.57,64%,239,Medium,1893,55.2,29%,36.1,46%,38%,47,Firepower Control+
Maverix,Havik-15 Pro,$200 ,2024,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,15,5.3,4.125,8.23,118,71%,6.46,57%,240,Medium,1889,55.5,37%,36.6,72%,54%,55,Firepower Balanced
Neonic,Flare Prime X,$139.99 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.5,4.125,7.77,107,6%,6.75,77%,237,Very High,2003,55.6,39%,35.6,27%,33%,48,Firepower Control+
Neonic,Flare Titanium 16mm,$149.99 ,2024,USAP,Widebody,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,8.15,114,44%,7.06,89%,239,Very High,2015,55.2,29%,35.5,23%,26%,42,Firepower Control+
Neonic,Flow,$129.99 ,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.2,4.125,8.14,117,64%,6.58,65%,238,Medium,1914,54.2,15%,34.7,7%,11%,23,Firepower Soft
Neonic,Flow Prime X,$139.99 ,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,7.8,111,23%,6.11,31%,240,,,,,,,,,
Neonic,Force,$99.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.3,4.125,8.06,116,57%,6.35,50%,238,Low,1814,54.3,16%,34.8,8%,12%,25,Firepower Soft
Paddletek,Bantam ALW-C 12.7,$250 ,2024,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.25,4.25,7.55,102,1%,6.54,61%,234,Very High,2083,55.7,42%,37.1,93%,67%,61,Firepower Balanced
Paddletek,Bantam ALW-C 14.3,$250 ,2024,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14.3,5.25,4.25,7.7,105,3%,6.5,59%,237,Very High,2056,55.4,34%,36.3,57%,46%,51,Firepower Balanced
Paddletek,Bantam ESQ-C 12.7,$250 ,2024,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.5,4.25,7.82,103,2%,6.78,78%,236,Very High,2071,55.9,52%,37.2,95%,74%,64,Firepower Balanced
Paddletek,Bantam ESQ-C 14.3,$250 ,2024,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14.3,5.5,4.25,7.85,106,5%,6.69,74%,232,Very High,2059,55.6,39%,36.6,72%,56%,56,Firepower Balanced
Paddletek,Bantam GTO-C 12.7,$250 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.75,5.75,7.9,118,71%,7.55,99%,247,,,,,,,,,
Paddletek,Bantam GTO-C 14.3,$250 ,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14.3,5.75,5.75,7.93,117,64%,6.69,74%,244,,,,,,,,,
Paddletek,Bantam TKO-C 12.7,$229.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.25,4.25,7.78,114,44%,6.6,66%,243,Medium,1903,56.6,81%,37.7,99%,90%,77,Firepower High
Paddletek,Bantam TKO-C 14.3,$229.99 ,2024,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,14.3,5.25,4.25,7.75,115,50%,6.48,58%,245,Medium,1910,56.8,86%,37.4,98%,92%,78,Firepower High
Paddletek,Bantam TKO-CX 12.7,$229.99 ,2024,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,12.7,5.75,4.25,7.82,117,64%,6.97,87%,247,,,,,,,,,
Paddletek,Bantam TKO-CX 14.3,$229.99 ,2024,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,14.3,5.75,4.25,8.06,123,92%,7.35,96%,250,,,,,,,,,
Paddletek,Tempest Wave Pro-C,$209.99 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14.3,5.25,4.25,7.92,108,10%,6.98,87%,236,Low,1835,54.5,18%,35.7,31%,25%,35,Firepower Control+
Pickleball Apes,Charm S,$199.99 ,2025,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.5,4.25,8.1,115,50%,6.32,49%,240,Very High,2051,56.5,77%,36.3,57%,67%,66,Firepower High
Pickleball Apes,Charm V,$199.99 ,2025,USAP,Widebody,Kevlar,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.5,4.25,8.14,111,23%,7.36,97%,236,Very High,2012,56.5,77%,36.4,62%,70%,66,Firepower High
Pickleball Apes,Charm X,$199.99 ,2025,USAP,Elongated,Kevlar,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.75,4.25,8.18,124,95%,6.3,46%,246,Very High,2075,56.3,68%,36.5,67%,67%,64,Firepower Balanced
Pickleball Apes,Harmony S,$179.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Control,16,5.5,4.25,7.9,114,44%,6.25,42%,240,,,,,,,,,
Pickleball Apes,Harmony V,$179.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Control,16,5.5,4.25,7.9,109,13%,7.23,94%,234,,,,,,,,,
Pickleball Apes,Harmony X,$179.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Control,16,5.75,4.25,8,120,83%,6.12,32%,245,Very High,2035,53.7,10%,35.5,23%,16%,23,Firepower Soft
Pickleball Apes,Joy S,$109.99 ,2026,USAP,Hybrid,,Raw Texture/Peel Ply,Gen 4,,16,5.3,4.125,7.8,110,17%,6.08,29%,237,,,,,,,,,
Pickleball Apes,Joy S +,$109.99 ,2026,USAP,Hybrid,,Raw Texture/Peel Ply,Gen 4,,16,5.3,4.125,7.97,111,23%,6.61,67%,237,,,,,,,,,
Pickleball Apes,Pro Line Energy,$149.99 ,2023,USAP,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,16.5,6.25,4.25,8.16,127,98%,5.89,17%,248,,,54.9,22%,,,,,
Pickleball Apes,Pro Line Energy S,$169.99 ,2023,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16.5,5.5,4.25,8.1,116,57%,6.26,43%,238,,,52,1%,,,,,
Pickleball Apes,Pulse E,$199.99 ,2024,USAP,Extra-elongated,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,All-Court,16.5,6.25,4.25,8.26,127,98%,5.89,17%,247,High,1986,55.7,42%,35.9,36%,39%,52,Firepower Balanced
Pickleball Apes,Pulse S,$199.99 ,2024,USAP,Hybrid,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,All-Court,16.5,5.5,4.25,7.98,114,44%,6.24,41%,240,High,1971,54.9,22%,36.2,51%,36%,44,Firepower Control+
Pickleball Apes,Pulse V,$199.99 ,2024,USAP,Widebody,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,All-Court,16.5,5.5,4.25,8.13,112,29%,7.37,97%,237,High,1978,54.7,20%,36.1,46%,33%,40,Firepower Control+
Pickleball Apes,Pulse X,$199.99 ,2025,USAP,Elongated,Kevlar,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,8.1,121,86%,6.14,33%,245,,,,,,,,,
PIKKL,Hurricane Pro 14mm,$159.99 ,2024,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,14,5.5,4.25,7.83,108,10%,6.67,71%,237,High,1979,53.1,6%,35.5,23%,14%,15,Firepower Soft
PIKKL,Hurricane Pro 16mm,$159.99 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.25,7.9,111,23%,6.95,86%,238,High,1991,52.8,2%,35.3,17%,10%,9,Firepower Soft
PIKKL,Vantage Pro 14mm,$139.99 ,2023,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,14,5.3,4.25,8.04,115,50%,6.28,45%,236,High,1998,53.2,6%,,,,,
PIKKL,Vantage Pro 16mm,$139.99 ,2023,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.3,4.25,8.4,121,86%,6.69,74%,237,High,1996,53.7,10%,,,,,
Prokennex,Black Ace 14,$279 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,All-Court,14,5.3,4,7.8,102,1%,6.57,64%,224,Very High,2042,54.9,22%,37.1,93%,57%,51,Firepower Balanced
Prokennex,Black Ace 16,$279 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,Control,16,5.3,4,8,109,13%,6.92,85%,234,Very High,2056,55.4,34%,36.3,57%,46%,51,Firepower Balanced
Prokennex,Black Ace LG 14,$279 ,2024,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,Power,14,5.9,4,7.8,107,6%,5.6,7%,229,Very High,2056,55.7,42%,37.1,93%,67%,61,Firepower Balanced
Prokennex,Black Ace XF 14,$279 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5/Edgeless,All-Court,14,5.1,4,7.8,101,1%,5.4,3%,221,High,1993,54.7,20%,36.4,62%,41%,43,Firepower Control+
Proton,Project Flamingo,$280 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,15,5.25,4.25,8.16,121,86%,6.78,78%,242,High,1982,55.9,52%,37.4,98%,75%,66,Firepower High
Proton,Project Peacock,$280 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,15,5.25,4.25,8,116,57%,6.27,44%,243,Very High,2093,56.8,86%,36.9,85%,86%,74,Firepower High
Proton,Series 1 Type A Elongated 11mm,$280 ,2024,USAP,Elongated,Carbon,Nanotak,Gen 1,,11,5.5,4.25,8.14,124,95%,5.91,19%,247,,,,,,,,,
Proton,Series 1 Type A Elongated 15mm,$280 ,2024,USAP,Elongated,Carbon,Nanotak,Gen 1,,15,5.5,4.25,8.6,135,100%,6.52,60%,251,High,1938,55.9,52%,35.9,36%,44%,55,Firepower Balanced
Proton,Series 1 Type A Square Shape 11mm,$280 ,2024,USAP,Widebody,Carbon,Nanotak,Gen 1,,11,5.25,4.25,7.96,114,44%,6.59,66%,242,High,2000,54.4,17%,36.1,46%,31%,36,Firepower Control+
Proton,Series 2,$220 ,2024,USAP,Hybrid,Carbon,Paint Grit,Gen 1/Edgeless,,15,5.375,4.25,8.38,121,86%,5.92,20%,240,,,,,,,,,
Proton,Series 3,$250 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.3,4.25,8.2,124,95%,6.88,84%,245,,,,,,,,,
Proton,Series 4,$300 ,2024,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2/Edgeless,,16,5.3,4.25,7.8,111,23%,5.51,5%,237,High,1944,54.9,22%,34.6,6%,14%,32,Firepower Soft
ProXR,Sweet Spot 13,$210 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,,13,5.25,4,8.1,115,50%,6.99,87%,238,,,,,,,,,
ProXR,Zane Navtratil Signature,$209.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,14,6,4,8.24,115,50%,5.71,10%,233,,,,,,,,,
Reload,RLD-1,$200 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8.17,122,89%,6.37,52%,245,High,1973,55.5,37%,35.1,15%,26%,43,Firepower Control+
Rev,Zeus,$149 ,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,4.2,8,113,36%,6.35,50%,239,,,,,,,,,
Revolin,Drift Pure,$174.99 ,2025,USAP,Widebody,Bio Flex,Raw Texture/Peel Ply,Gen 1,All-Court,16,5,4.25,8.08,109,13%,6.55,63%,232,Very High,2072,55.6,39%,35.9,36%,37%,51,Firepower Balanced
Revolin,Drift Reach,$174.99 ,2025,USAP,Elongated,Bio Flex,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.5,4.25,8.23,118,71%,5.72,10%,237,High,1980,55.7,42%,36.1,46%,44%,54,Firepower Balanced
Revolin,Revo Pro Pure,$219.99 ,2024,USAP,Widebody,Lava Rock,Raw Texture/Peel Ply,Gen 1,Power,16,5.25,4.25,8,103,2%,6.53,61%,226,High,1958,56,57%,37.1,93%,75%,65,Firepower High
Revolin,Revo Pro Reach,$219.99 ,2024,USAP,Elongated,Lava Rock,Raw Texture/Peel Ply,Gen 1,Power,16,5.5,4.25,7.91,109,13%,5.59,6%,233,Medium,1851,56.3,68%,36.9,85%,77%,67,Firepower High
Ronbus,Pulsar FX.R1,$180 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8.21,120,83%,6.23,40%,243,Medium,1907,55,25%,35.9,36%,31%,43,Firepower Control+
Ronbus,Pulsar FX.R2,$180 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8.18,113,36%,7.05,89%,237,Medium,1900,54.9,22%,35.5,23%,22%,39,Firepower Control+
Ronbus,Pulsar FX.R3,$180 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8.22,123,92%,6.27,44%,245,High,1946,55.4,34%,35.6,27%,30%,46,Firepower Control+
Ronbus,Quanta R1,$119 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.65,107,6%,5.6,7%,236,,,,,,,,,
Ronbus,Quanta R2,$119 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.68,103,2%,6.25,42%,232,,,,,,,,,
Ronbus,Quanta R3,$119 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.69,113,36%,5.64,8%,240,,,,,,,,,
Ronbus,Quanta R4,$119 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.7,105,3%,5.9,18%,235,Very High,2065,56.5,77%,37,90%,83%,71,Firepower High
Ronbus,Quanta R5,$119 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.7,103,2%,6.15,34%,232,Very High,2110,56.6,81%,36.9,85%,83%,71,Firepower High
Ronbus,R1 Nova,$180 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,8.14,118,71%,6,24%,242,Medium,1883,54.4,17%,34.2,3%,10%,22,Firepower Soft
Ronbus,R1 Pulsar,$170 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,7.87,114,44%,6.12,32%,237,,,,,,,,,
Ronbus,R1.16,$120 ,2022,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.5,4.125,7.96,118,71%,6.11,31%,242,High,1950,53.7,10%,33.7,1%,6%,9,Firepower Soft
Ronbus,R3 Nova,$180 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,8.07,120,83%,6.04,27%,245,,,55,25%,34.8,8%,17%,35,Firepower Control+
Ronbus,R3 Pulsar,$170 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,7.98,122,89%,6.15,34%,245,Medium,1903,55.2,29%,35.4,20%,24%,42,Firepower Control+
Ronbus,R3.16,$120 ,2022,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.5,4.125,7.73,119,79%,5.84,15%,247,,,,,,,,,
Ronbus,Ripple V2 R1.14,$280 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,8.2,128,99%,5.88,16%,250,Very High,2023,57.6,98%,36.6,72%,85%,82,Firepower Elite
Ronbus,Ripple V2 R2.14,$280 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,8.2,119,79%,6.6,66%,244,Very High,2005,56.9,90%,37.2,95%,93%,78,Firepower High
Ronbus,Ripple V2 R4.14,$280 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,8,118,71%,5.9,18%,245,Very High,2015,57,93%,37,90%,91%,77,Firepower High
RPM,Friction Pro Elongated 14,$249.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4,7.81,115,50%,6,24%,242,Very High,2121,56.2,65%,36.5,67%,66%,63,Firepower Balanced
RPM,Friction Pro Elongated 16,$249.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.9,117,64%,6.14,33%,243,Very High,2106,56.6,81%,36.7,80%,80%,70,Firepower High
RPM,Friction Pro Widebody 14,$249.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4,7.93,110,17%,7.1,90%,237,Very High,2035,56,57%,36.2,51%,54%,58,Firepower Balanced
RPM,Friction Pro Widebody 16,$249.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.95,110,17%,7.24,94%,236,Very High,2109,56.3,68%,36.3,57%,63%,63,Firepower Balanced
Selkirk,Amped Epic Control,$160 ,2024,USAP,Widebody,Carbon,Paint Grit,Gen 1,Control,16,5.25,4.25,8,105,3%,6.54,61%,230,,,,,,,,,
Selkirk,Amped Epic Pro Air,$180 ,2024,USAP,Widebody,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,16,5.25,4.25,7.97,112,29%,6.87,83%,240,Medium,1909,55.1,28%,36.1,46%,37%,46,Firepower Control+
Selkirk,Amped Invikta Pro Air,$180 ,2024,USAP,Elongated,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,16,5.25,4.25,7.86,118,71%,5.9,18%,246,Medium,1895,55.5,37%,36.3,57%,47%,52,Firepower Balanced
Selkirk,Boomstick Elongated,$333 ,2025,USAP,Elongated,Carbon,Durable Texture,Gen 4,Power,16,5.8,4.25,8.4,121,86%,6.92,85%,239,High,1989,57.1,95%,37.3,97%,96%,81,Firepower Elite
Selkirk,Boomstick Widebody,$333 ,2025,USAP,Widebody,Carbon,Durable Texture,Gen 4,Power,16,5.6,4.25,8.3,113,36%,7.72,100%,233,High,1980,56.8,86%,37.2,95%,91%,76,Firepower High
Selkirk,Luxx Control Air Epic,$250 ,2023,USAP,Widebody,Carbon,Paint Grit,Gen 1.5/Edgeless,Control,20,5.25,4.25,8.08,112,29%,6.35,50%,238,Medium,1873,51.2,0%,33.1,1%,1%,0,Firepower Soft
Selkirk,Luxx Control Air Invikta,$250 ,2023,USAP,Elongated,Carbon,Paint Grit,Gen 1.5/Edgeless,Control,20,5.25,4.25,7.96,115,50%,5.78,12%,242,Medium,1858,52,1%,33.2,1%,1%,0,Firepower Soft
Selkirk,Luxx Control Air Invikta Infinigrit,$280 ,2025,USAP,Elongated,Carbon,Paint Grit,Gen 2,Control,19,5.5,4.25,8.05,117,64%,5.83,14%,243,High,1993,54.2,15%,35.3,17%,16%,28,Firepower Soft
Selkirk,Luxx Control Air S2,$250 ,2023,USAP,Widebody,Carbon,Paint Grit,Gen 1.5/Edgeless,Control,20,4.5,4.25,8.17,107,6%,7.13,91%,233,Medium,1870,50.3,0%,32.9,0%,0%,0,Firepower Soft
Selkirk,Power Air Epic,$249.99 ,2022,USAP,Widebody,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,4.25,8.04,104,3%,6.35,50%,229,Medium,1884,53.2,6%,36.6,72%,39%,24,Firepower Soft
Selkirk,Power Air Invikta,$249.99 ,2022,USAP,Elongated,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,4.25,8,112,29%,5.62,7%,237,Medium,1894,53.5,9%,36.5,67%,38%,28,Firepower Soft
Selkirk,SLK Dauntless Elongated,$180 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,Control,16,5.8,4.25,7.9,117,64%,6.56,63%,244,Very High,2064,55.9,52%,35.9,36%,44%,55,Firepower Balanced
Selkirk,SLK Dauntless Widebody,$180 ,2026,USAP,Widebody,,Raw Texture/Peel Ply,Gen 4,Control,16,5.6,4.25,7.86,110,17%,7.36,97%,240,Very High,2020,55.7,42%,36.1,46%,44%,54,Firepower Balanced
Selkirk,Vanguard Control Epic (midweight),$200 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.3,4.25,8.14,112,29%,6.37,52%,236,,,,,,,,,
Selkirk,Vanguard Control Invikta (mideweight),$200 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.5,4.25,7.97,113,36%,5.65,8%,237,,,,,,,,,
Selkirk,Vanguard Control S2 (midweight),$200 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.7,4.25,8.01,105,3%,7.09,90%,230,,,,,,,,,
Selkirk,Vanguard Pro Power Invikta,$220 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,8.03,114,44%,5.89,17%,237,High,1937,55.7,42%,35.2,16%,29%,47,Firepower Control+
Selkirk Labs,008 Epic 13mm,$288 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Control,13,5.3,4.25,7.75,102,1%,5.81,13%,229,High,1954,54.8,21%,35.4,20%,20%,36,Firepower Control+
Selkirk Labs,008 Invikta 10mm,$288 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,10,5.5,4.25,7.9,110,17%,5.2,2%,234,High,1995,55,25%,35.6,27%,26%,41,Firepower Control+
Selkirk Labs,008 Invikta 13mm,$288 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Control,13,5.5,4.25,7.7,109,13%,5.4,3%,236,High,1965,55.1,28%,35.3,17%,23%,40,Firepower Control+
Selkirk Labs,008 Tour 13mm,$288 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Control,13,6,4.25,7.9,112,29%,5.36,3%,237,High,1991,54.7,20%,35,12%,16%,32,Firepower Soft
Selkirk Labs,008 Tour 16mm,$288 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Control,16,6,4.25,8.1,116,57%,5.52,5%,239,High,1969,55.2,29%,34.8,8%,19%,37,Firepower Control+
Selkirk Labs,Project 005 Epic,$222 ,2023,USAP,Widebody,Fiberglass,Paint Grit,Gen 2/Edgeless,All-Court,16,5.25,4.25,7.97,110,17%,6.88,84%,238,,,,,,,,,
Selkirk Labs,Project 006 Maxima,$333 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.25,8.39,118,71%,5.97,23%,236,Low,1848,54.1,13%,34.4,4%,9%,20,Firepower Soft
Selkirk Labs,Project 007 Epic 14mm,$333 ,2024,USAP,Widebody,Carbon,Durable Texture,Gen 2/Edgeless,Power,14,5.25,4.25,8.13,113,36%,6.5,59%,239,High,1981,55.5,37%,36.8,82%,60%,56,Firepower Balanced
Selkirk Labs,Project 007 Invikta 14mm,$333 ,2024,USAP,Elongated,Carbon,Durable Texture,Gen 2,Power,14,,4.25,8.13,118,71%,5.94,21%,243,Very High,2005,56.5,77%,36.3,57%,67%,66,Firepower High
Six Zero,Black Diamond 14mm,$180 ,2024,USAP,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,14,5.5,4.25,8,112,29%,6.46,57%,237,High,1988,55.6,39%,36.8,82%,61%,57,Firepower Balanced
Six Zero,Black Diamond 16mm,$179.99 ,2023,USAP,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.5,4.25,8.07,114,44%,6.67,71%,239,High,1981,55.9,52%,36.3,57%,54%,58,Firepower Balanced
Six Zero,Black Diamond Amethyst Pro,$199 ,2023,USAP,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.5,4.25,8.23,115,50%,6.72,76%,234,,,,,,,,,
Six Zero,Black Diamond Infinity 16mm,$220 ,2023,USAP,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.5,4.25,7.97,107,6%,5.8,12%,229,High,1990,52.8,2%,35.4,20%,11%,10,Firepower Soft
