Brand,Paddle Name,Price,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Diadem,Edge Blucore Pro 16,$249.95 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.7,4.125,8.12,122,89%,6.65,70%,243,,,,,,,,,
Diadem,Icon Infinity Max,$219.95 ,2024,USAP,Widebody,Carbon,Paint Grit,Gen 2,All-Court,13.7,5,4.125,8.25,113,36%,7.35,96%,236,,,,,,,,,
Element 6,Zephyr,$139.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.82,108,10%,6.84,82%,234,Very High,2021,58,99%,37.4,98%,99%,94,Firepower Elite
Element6,Fuego,$199.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.2,8,121,86%,6.61,67%,246,Very High,2016,55.7,42%,35.4,20%,31%,48,Firepower Control+
Element6,Surtr,$199 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,8.1,115,50%,6.54,61%,240,High,1961,57.2,96%,36.3,57%,77%,75,Firepower High
Engage,Alpha Pro 14,$259.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.25,8,112,29%,5.96,22%,240,Very High,2097,56.6,81%,36.3,57%,69%,67,Firepower High
Engage,Alpha Pro 16,$259.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,8,113,36%,6.21,39%,238,Very High,2085,56.4,74%,36.2,51%,62%,64,Firepower Balanced
Engage,Profoam,$229.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.25,8.06,122,89%,6.4,53%,247,High,1955,56.5,77%,36,41%,59%,63,Firepower Balanced
Engage,Pursuit Pro EX,$259.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5,4.25,8,110,17%,6.77,77%,236,High,1952,55.2,29%,36.6,72%,51%,51,Firepower Balanced
Engage,Pursuit Pro EX 6.0,$259.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5,4.25,7.92,115,50%,7.37,97%,243,High,1946,55.7,42%,36.1,46%,44%,54,Firepower Balanced
Engage,Pursuit Pro MX,$259.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,4.25,8.06,119,79%,5.88,16%,239,,,56.1,61%,36.5,67%,64%,62,Firepower Balanced
Engage,Pursuit Pro MX 6.0,$259.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.75,4.25,7.87,125,97%,6.57,64%,254,,,56.8,86%,35.7,31%,58%,65,Firepower High
Engage,Pursuit Pro1 (Lite),$259.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.875,4.25,7.85,112,29%,5.83,14%,234,High,1964,55.4,34%,36.6,72%,53%,53,Firepower Balanced
Engage,Pursuit Pro1 (Standard),$259.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.875,4.25,8.04,114,44%,5.94,21%,232,High,1956,55.9,52%,36.4,62%,57%,58,Firepower Balanced
Engage,Pursuit Pro1 6.0 (Lite),$259.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.875,4.25,7.66,115,50%,5.81,13%,241,High,1948,55.8,48%,37.1,93%,70%,62,Firepower Balanced
Engage,Pursuit Pro1 6.0 (Standard),$259.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.875,4.25,8.01,115,50%,5.83,14%,235,High,1959,55.6,39%,36.6,72%,56%,56,Firepower Balanced
